Age,Height,Male,,,Female,,Weight,Male,,,Female,,BMI,Male,,,Female,
(years),L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
4.917,1,109.01,0.04123,1,108.26,0.04099,-0.555,18.4507,0.12067,-0.6,18.1198,0.13264,-1.467,15.557,0.07829,-1.215,15.492,0.0927
5,1,109.59,0.04131,1,108.86,0.0411,-0.567,18.633,0.1211,-0.607,18.299,0.1334,-1.481,15.547,0.07856,-1.22,15.483,0.09326
5.083,1,110.16,0.04137,1,109.45,0.0412,-0.579,18.8143,0.12154,-0.614,18.4791,0.13416,-1.495,15.538,0.07884,-1.225,15.475,0.09384
5.167,1,110.73,0.04144,1,110.03,0.0413,-0.591,18.9942,0.12198,-0.621,18.6581,0.13493,-1.509,15.53,0.07915,-1.231,15.468,0.09443
5.25,1,111.28,0.04149,1,110.6,0.0414,-0.603,19.172,0.12243,-0.627,18.837,0.13569,-1.523,15.523,0.07948,-1.236,15.463,0.09503
5.333,1,111.81,0.04155,1,111.16,0.04149,-0.615,19.349,0.12289,-0.634,19.017,0.13643,-1.536,15.517,0.07983,-1.241,15.46,0.09563
5.417,1,112.35,0.0416,1,111.71,0.04157,-0.627,19.5253,0.12335,-0.64,19.1967,0.13719,-1.549,15.511,0.0802,-1.245,15.457,0.09624
5.5,1,112.87,0.04165,1,112.24,0.04165,-0.639,19.701,0.12383,-0.647,19.377,0.13794,-1.562,15.507,0.08059,-1.25,15.457,0.09686
5.583,1,113.38,0.0417,1,112.77,0.04173,-0.651,19.8767,0.12432,-0.653,19.5581,0.13868,-1.575,15.503,0.081,-1.255,15.458,0.09749
5.667,1,113.9,0.04174,1,113.29,0.0418,-0.663,20.0523,0.12482,-0.659,19.7404,0.13942,-1.587,15.5,0.08143,-1.26,15.461,0.09812
5.75,1,114.41,0.04178,1,113.81,0.04187,-0.675,20.229,0.12534,-0.665,19.925,0.14016,-1.599,15.498,0.08189,-1.264,15.465,0.09875
5.833,1,114.92,0.04182,1,114.32,0.04194,-0.687,20.4077,0.12587,-0.672,20.11,0.1409,-1.611,15.497,0.08235,-1.269,15.47,0.0994
5.917,1,115.43,0.04186,1,114.82,0.042,-0.699,20.5867,0.12642,-0.678,20.2972,0.14165,-1.622,15.497,0.08284,-1.273,15.477,0.10004
6,1,115.93,0.0419,1,115.33,0.04206,-0.711,20.767,0.12699,-0.684,20.486,0.14239,-1.634,15.498,0.08334,-1.277,15.485,0.10069
6.083,1,116.44,0.04193,1,115.83,0.04212,-0.723,20.9487,0.12757,-0.689,20.6778,0.14315,-1.644,15.499,0.08386,-1.281,15.494,0.10135
6.167,1,116.94,0.04197,1,116.33,0.04217,-0.735,21.1303,0.12816,-0.695,20.871,0.14391,-1.655,15.501,0.08439,-1.286,15.506,0.102
6.25,1,117.44,0.042,1,116.82,0.04222,-0.748,21.313,0.12877,-0.701,21.066,0.14468,-1.665,15.503,0.08494,-1.289,15.517,0.10266
6.333,1,117.94,0.04203,1,117.31,0.04227,-0.76,21.4981,0.12939,-0.707,21.2629,0.14547,-1.675,15.507,0.08549,-1.293,15.53,0.10332
6.417,1,118.43,0.04206,1,117.81,0.04232,-0.772,21.6842,0.13003,-0.712,21.4633,0.14626,-1.685,15.511,0.08606,-1.297,15.544,0.10397
6.5,1,118.93,0.04209,1,118.3,0.04237,-0.785,21.872,0.13068,-0.718,21.667,0.14706,-1.694,15.516,0.08663,-1.301,15.56,0.10463
6.583,1,119.42,0.04212,1,118.79,0.04241,-0.797,22.0621,0.13136,-0.723,21.8742,0.14788,-1.704,15.522,0.08722,-1.304,15.577,0.10529
6.667,1,119.91,0.04216,1,119.28,0.04246,-0.81,22.2549,0.13205,-0.729,22.086,0.14872,-1.713,15.529,0.08781,-1.308,15.596,0.10595
6.75,1,120.41,0.04219,1,119.77,0.0425,-0.823,22.45,0.13276,-0.734,22.302,0.14958,-1.721,15.536,0.08841,-1.311,15.614,0.1066
6.833,1,120.9,0.04223,1,120.26,0.04254,-0.836,22.6478,0.13349,-0.739,22.5234,0.15045,-1.73,15.545,0.08901,-1.314,15.635,0.10725
6.917,1,121.4,0.04227,1,120.77,0.04258,-0.849,22.848,0.13425,-0.744,22.749,0.15134,-1.738,15.554,0.08962,-1.317,15.656,0.10789
7,1,121.9,0.04231,1,121.27,0.04261,-0.861,23.051,0.13502,-0.749,22.98,0.15225,-1.745,15.564,0.09023,-1.32,15.677,0.10854
7.083,1,122.4,0.04236,1,121.77,0.04265,-0.874,23.2576,0.13581,-0.754,23.2141,0.15317,-1.753,15.575,0.09084,-1.323,15.7,0.10918
7.167,1,122.9,0.0424,1,122.28,0.04268,-0.887,23.4657,0.13662,-0.758,23.4517,0.15409,-1.76,15.587,0.09145,-1.325,15.723,0.10981
7.25,1,123.4,0.04245,1,122.79,0.04271,-0.9,23.676,0.13744,-0.762,23.691,0.155,-1.767,15.6,0.09207,-1.328,15.748,0.11044
7.333,1,123.9,0.04249,1,123.31,0.04273,-0.913,23.8873,0.13827,-0.766,23.933,0.15591,-1.774,15.614,0.09268,-1.33,15.772,0.11106
7.417,1,124.4,0.04254,1,123.82,0.04276,-0.925,24.1001,0.13912,-0.77,24.1756,0.15682,-1.781,15.628,0.0933,-1.332,15.798,0.11167
7.5,1,124.9,0.04259,1,124.33,0.04278,-0.937,24.314,0.13998,-0.774,24.419,0.15772,-1.787,15.643,0.09391,-1.334,15.824,0.11228
7.583,1,125.4,0.04263,1,124.84,0.04281,-0.949,24.5293,0.14084,-0.777,24.6625,0.1586,-1.793,15.659,0.09451,-1.336,15.85,0.11288
7.667,1,125.89,0.04267,1,125.34,0.04284,-0.961,24.7467,0.14171,-0.78,24.907,0.15947,-1.798,15.675,0.09512,-1.338,15.877,0.11346
7.75,1,126.39,0.04272,1,125.85,0.04287,-0.972,24.965,0.14259,-0.783,25.153,0.16033,-1.804,15.692,0.09572,-1.339,15.905,0.11404
7.833,1,126.87,0.04276,1,126.35,0.0429,-0.983,25.1849,0.14346,-0.785,25.398,0.16117,-1.809,15.71,0.09632,-1.341,15.934,0.11461
7.917,1,127.36,0.0428,1,126.85,0.04293,-0.994,25.407,0.14434,-0.787,25.6434,0.16201,-1.814,15.729,0.09691,-1.342,15.963,0.11517
8,1,127.85,0.04284,1,127.34,0.04298,-1.005,25.63,0.14522,-0.789,25.889,0.16282,-1.818,15.748,0.09749,-1.344,15.993,0.11572
8.083,1,128.33,0.04289,1,127.82,0.04302,-1.015,25.855,0.14609,-0.79,26.1335,0.16363,-1.823,15.768,0.09807,-1.345,16.022,0.11625
8.167,1,128.8,0.04293,1,128.3,0.04308,-1.024,26.0814,0.14696,-0.792,26.378,0.16443,-1.827,15.789,0.09864,-1.345,16.054,0.11679
8.25,1,129.27,0.04297,1,128.76,0.04314,-1.034,26.308,0.14782,-0.792,26.622,0.16521,-1.83,15.81,0.0992,-1.346,16.085,0.1173
8.333,1,129.74,0.04302,1,129.23,0.04321,-1.042,26.5363,0.14868,-0.793,26.8659,0.16599,-1.834,15.833,0.09976,-1.347,16.118,0.1178
8.417,1,130.19,0.04307,1,129.69,0.04328,-1.051,26.7655,0.14953,-0.793,27.1105,0.16677,-1.837,15.855,0.1003,-1.347,16.15,0.1183
8.5,1,130.64,0.04312,1,130.14,0.04336,-1.058,26.996,0.15038,-0.793,27.355,0.16754,-1.84,15.88,0.10084,-1.348,16.184,0.11879
8.583,1,131.09,0.04318,1,130.59,0.04345,-1.065,27.2269,0.15121,-0.793,27.6011,0.16832,-1.843,15.904,0.10137,-1.348,16.218,0.11926
8.667,1,131.54,0.04324,1,131.03,0.04354,-1.072,27.458,0.15204,-0.792,27.85,0.16909,-1.846,15.929,0.10189,-1.348,16.253,0.11972
8.75,1,131.97,0.0433,1,131.48,0.04364,-1.078,27.69,0.15286,-0.791,28.101,0.16987,-1.848,15.955,0.1024,-1.349,16.288,0.12017
8.833,1,132.41,0.04337,1,131.92,0.04375,-1.083,27.922,0.15366,-0.789,28.3567,0.17064,-1.85,15.982,0.1029,-1.349,16.324,0.1206
8.917,1,132.84,0.04344,1,132.37,0.04387,-1.088,28.1557,0.15446,-0.787,28.6159,0.17141,-1.852,16.009,0.1034,-1.348,16.361,0.12103
9,1,133.28,0.04351,1,132.82,0.04399,-1.092,28.39,0.15525,-0.785,28.88,0.17218,-1.854,16.037,0.10388,-1.348,16.399,0.12144
9.083,1,133.71,0.04359,1,133.27,0.04412,-1.095,28.6266,0.15602,-0.782,29.1481,0.17294,-1.855,16.066,0.10435,-1.348,16.437,0.12185
9.167,1,134.14,0.04367,1,133.73,0.04426,-1.098,28.8637,0.15677,-0.779,29.4203,0.17369,-1.856,16.095,0.10482,-1.347,16.475,0.12223
9.25,1,134.57,0.04376,1,134.19,0.0444,-1.101,29.103,0.15751,-0.776,29.697,0.17445,-1.857,16.125,0.10527,-1.347,16.515,0.12261
9.333,1,134.99,0.04384,1,134.65,0.04455,-1.103,29.343,0.15824,-0.772,29.9771,0.1752,-1.858,16.155,0.10571,-1.346,16.555,0.12298
9.417,1,135.42,0.04394,1,135.12,0.04471,-1.104,29.585,0.15895,-0.768,30.2597,0.17594,-1.858,16.187,0.10615,-1.346,16.596,0.12333
9.5,1,135.84,0.04403,1,135.59,0.04487,-1.105,29.828,0.15963,-0.764,30.545,0.17668,-1.859,16.219,0.10657,-1.345,16.637,0.12367
9.583,1,136.26,0.04413,1,136.06,0.04504,-1.105,30.074,0.16031,-0.758,30.8335,0.17742,-1.859,16.251,0.10698,-1.344,16.679,0.124
9.667,1,136.68,0.04423,1,136.53,0.04521,-1.104,30.323,0.16096,-0.753,31.1243,0.17816,-1.859,16.284,0.10738,-1.343,16.722,0.12432
9.75,1,137.1,0.04433,1,137,0.04538,-1.103,30.574,0.16161,-0.747,31.417,0.17891,-1.859,16.318,0.10777,-1.342,16.765,0.12462
9.833,1,137.53,0.04444,1,137.48,0.04556,-1.102,30.829,0.16224,-0.74,31.7122,0.17967,-1.859,16.352,0.10815,-1.341,16.809,0.12492
9.917,1,137.96,0.04456,1,137.95,0.04574,-1.099,31.0876,0.16286,-0.733,32.0096,0.18044,-1.858,16.387,0.10852,-1.34,16.853,0.1252
10,1,138.39,0.04468,1,138.43,0.04593,-1.097,31.35,0.16347,-0.725,32.308,0.18122,-1.857,16.423,0.10888,-1.339,16.898,0.12547
10.083,1,138.82,0.0448,1,138.9,0.04612,-1.093,31.615,0.16408,-0.717,32.6075,0.18201,-1.856,16.459,0.10923,-1.338,16.943,0.12573
10.167,1,139.26,0.04493,1,139.38,0.0463,-1.089,31.883,0.16469,-0.708,32.9083,0.1828,-1.855,16.496,0.10957,-1.337,16.99,0.12598
10.25,1,139.69,0.04506,1,139.86,0.04649,-1.085,32.152,0.16528,-0.699,33.212,0.18359,-1.854,16.533,0.1099,-1.336,17.036,0.12622
10.333,1,140.12,0.0452,1,140.33,0.04667,-1.08,32.4224,0.16588,-0.69,33.5147,0.18437,-1.853,16.57,0.11022,-1.334,17.083,0.12644
10.417,1,140.54,0.04534,1,140.81,0.04685,-1.074,32.6934,0.16648,-0.68,33.8213,0.18514,-1.851,16.609,0.11054,-1.333,17.131,0.12666
10.5,1,140.96,0.04548,1,141.28,0.04702,-1.068,32.964,0.16707,-0.669,34.129,0.18588,-1.85,16.648,0.11084,-1.332,17.179,0.12687
10.583,1,141.37,0.04562,1,141.76,0.04719,-1.061,33.234,0.16766,-0.658,34.4393,0.1866,-1.848,16.687,0.11114,-1.33,17.227,0.12706
10.667,1,141.78,0.04577,1,142.23,0.04734,-1.053,33.5036,0.16825,-0.647,34.7518,0.18729,-1.846,16.727,0.11143,-1.329,17.277,0.12725
10.75,1,142.18,0.04592,1,142.71,0.04749,-1.045,33.774,0.16884,-0.635,35.068,0.18794,-1.844,16.768,0.1117,-1.327,17.327,0.12742
10.833,1,142.58,0.04607,1,143.18,0.04762,-1.037,34.0437,0.16943,-0.623,35.3845,0.18855,-1.842,16.808,0.11197,-1.326,17.377,0.12759
